jan,title,maker,series,grade,scale
4905083056345,1/24 ザ・モデルカー No.1 トヨタ ZN6 TOYOTA86 '12,AOSHIMA,The Model Car,No.1,1/24
4905083061356,1/24 ザ・モデルカー No.2 スバル ZC6 BRZ '12,AOSHIMA,The Model Car,No.2,1/24
4905083061783,1/24 リバティーウォーク No.10 LB-WORK R35 GT-R Ver.2,AOSHIMA,Liberty Walk,,1/24
4905083062636,1/24 ザ・スナップキット No.1-A ニッサン GT-R(アルティメイトシャイニーオレンジ),AOSHIMA,Snap Kit,No.1,1/24
4905083000000,1/24 頭文字D No.5 藤原拓海 AE86トレノ 第1巻仕様,AOSHIMA,Initial D,,1/24
,1/24 ザ・スーパーカー No.3 ランボルギーニ アヴェンタドール LP700-4,AOSHIMA,Super Car,,1/24
,1/24 バック・トゥ・ザ・フューチャー デロリアン Part.I,AOSHIMA,Movie,,1/24
,1/32 トラック野郎 No.1 一番星 御意見無用,AOSHIMA,Decotora,,1/32
,1/12 バイク No.50 ホンダ CB400FOUR,AOSHIMA,Bike,,1/12
,1/24 サイバーフォーミュラ No.1 v.アスラーダG.S.X,AOSHIMA,Cyber Formula,,1/24
,1/24 楽プラ スナップキット ニッサン スカイライン 2000GT-R (シルバー),AOSHIMA,Snap Kit,,1/24
,1/24 ザ・チューンドカー No.14 トヨタ JZX100 マークII ツアラーV '00,AOSHIMA,Tuned Car,,1/24
,1/700 ウォーターライン No.001 日本海軍 戦艦 大和,AOSHIMA,Water Line,WL,1/700
