jan,title,maker,series,grade,scale
4536318620013,1/48 紅の豚 サボイアS.21,FINE MOLDS,Ghibli,,1/48
4536318620051,1/72 紅の豚 サボイアS.21F 後期型,FINE MOLDS,Ghibli,,1/72
4536318620020,1/48 紅の豚 カーチスR3C-0,FINE MOLDS,Ghibli,,1/48
4536318610014,1/20 天空の城ラピュタ ロボット兵(園丁Ver.),FINE MOLDS,Ghibli,,1/20
4536318610083,1/20 天空の城ラピュタ フラップター,FINE MOLDS,Ghibli,,1/20
4536318350088,1/35 陸上自衛隊 61式戦車 (改修型),FINE MOLDS,Military,,1/35
4536318350033,1/35 帝国陸軍 九七式中戦車 チハ 57mm砲塔/新車台,FINE MOLDS,Military,,1/35
4536318350064,1/35 帝国陸軍 九五式軽戦車 ハ号,FINE MOLDS,Military,,1/35
4536318720027,1/72 帝国海軍 零式艦上戦闘機 二一型,FINE MOLDS,Aircraft,,1/72
4536318720041,1/72 帝国海軍 零式艦上戦闘機 五二型,FINE MOLDS,Aircraft,,1/72
,1/72 スター・ウォーズ ミレニアム・ファルコン (Legacy),FINE MOLDS,Star Wars,,1/72
,1/48 スター・ウォーズ X-ウイング ファイター (Legacy),FINE MOLDS,Star Wars,,1/48
,1/144 スター・ウォーズ スレーヴI (ジャンゴ・フェット機),FINE MOLDS,Star Wars,,1/144
,1/35 ガールズ&パンツァー 八九式中戦車甲型,FINE MOLDS,Girls und Panzer,,1/35
,1/35 ガールズ&パンツァー 三式中戦車[チヌ],FINE MOLDS,Girls und Panzer,,1/35
