jan,title,maker,series,grade,scale
4968728038692,1/24 インチアップ No.15 スズキ ジムニー 1300 カスタム,FUJIMI,Inch Up,,1/24
4968728421473,1/700 帝国海軍シリーズ No.1 日本海軍戦艦 大和,FUJIMI,Imperial Navy,,1/700
4968728421527,1/700 帝国海軍シリーズ No.2 日本海軍戦艦 武蔵,FUJIMI,Imperial Navy,,1/700
4968728125866,1/24 峠シリーズ No.1 トヨタ AE86 レビン,FUJIMI,Touge,,1/24
4968728141446,1/12 バイクシリーズ No.1 ホンダ CB1300 スーパーフォア,FUJIMI,Bike,,1/12
4968728091932,1/24 リアルスポーツカーシリーズ No.15 ポルシェ 911 GT3R,FUJIMI,Real Sports Car,,1/24
,1/350 旧日本海軍戦艦 金剛,FUJIMI,Ship,,1/350
,1/24 湾岸ミッドナイト 悪魔のZ,FUJIMI,Wangan Midnight,,1/24
,1/700 特シリーズ No.6 日本海軍重巡洋艦 摩耶,FUJIMI,Toku,,1/700
,自由研究シリーズ No.1 いきもの編 ザリガニ(レッド),FUJIMI,Free Research,,Non
,自由研究シリーズ No.2 いきもの編 オオカマキリ,FUJIMI,Free Research,,Non
,もけい オオグソクムシ,FUJIMI,Free Research,,Non
,チビマルゴジラシリーズ No.1 ゴジラ,FUJIMI,Chibi Maru,,Non
,1/72 ミリタリーシリーズ No.1 陸上自衛隊 10式戦車,FUJIMI,Military,,1/72
,1/20 グランプリシリーズ No.4 フェラーリ F187/88C,FUJIMI,Grand Prix,,1/20
