jan,title,maker,series,grade,scale
,1/1 G-3ガンプラくん,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
4573102651181,1/1 ガンプラくんDXセット（ランナーVer.再現パーツ付き）,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
,1/1 ガンプラくん［ガンプラくん劇場イメージカラー］,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
,1/1 ガンプラくん［セブン-イレブン限定カラー］,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
,1/1 ガンプラくん［ペインティングモデル］,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
4573102685773,1/1 ザクプラくんDXセット（ランナーVer.再現パーツ付き）,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
,1/1 ザクプラくん［セブン-イレブン限定カラー］,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
4573102685834,1/1 シャアザクくんDXセット（ランナーVer.再現パーツ付き）,BANDAI SPIRITS,SDガンダムシリーズ,,1/1
4573102630513,1/100 Gガンダム,BANDAI SPIRITS,機動武闘伝Gガンダム,,1/100
4934054050758,1/100 Gキャノン,BANDAI SPIRITS,機動戦士ガンダムF91,,1/100
4902425366319,1/100 Gキャノンマグナ,BANDAI SPIRITS,機動戦士ガンダム シルエットフォーミュラ91,,1/100
4902425550213,1/100 Gファルコンユニット ガンダムダブルエックス,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4573102631848,1/100 MS-05 リアルタイプ 旧型ザク,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4573102631824,1/100 MS-06 リアルタイプ ザク,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4902425013268,1/100 MS-06R ザクII シン・マツナガ大尉機,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4573102631862,1/100 MS-09 リアルタイプ ドム,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4573102631879,1/100 MS-14 リアルタイプ ゲルググ,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4573102631817,1/100 RX-78 リアルタイプ ガンダム,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4573102631299,1/100 RX-78F00 ガンダム,BANDAI SPIRITS,GUNDAM FACTORY YOKOHAMA,,1/100
4902425370453,1/100 RX-99 ネオガンダム,BANDAI SPIRITS,機動戦士ガンダムシルエットフォーミュラ91,,1/100
4902425422336,1/100 V2アサルトガンダム,BANDAI SPIRITS,機動戦士Vガンダム,,1/100
4902425413853,1/100 V2ガンダム,BANDAI SPIRITS,機動戦士Vガンダム,,1/100
4902425424835,1/100 V2バスターガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED,,1/100
4902425386928,1/100 Vガンダム,BANDAI SPIRITS,機動戦士Vガンダム,,1/100
4902425395968,1/100 Vダッシュガンダム,BANDAI SPIRITS,機動戦士Vガンダム,,1/100
4902425013367,1/100 YMS-09 プロトタイプドム,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4902425013329,1/100 YMS-09 局地戦闘型ドム,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4902425066097,1/100 ZZガンダム,BANDAI SPIRITS,機動戦士ガンダムZZ,,1/100
4902425049236,1/100 Zガンダム,BANDAI SPIRITS,機動戦士Zガンダム,,1/100
4902425247281,1/100 νガンダム（フィン・ファンネル装備型）,BANDAI SPIRITS,機動戦士ガンダム 逆襲のシャア,,1/100
4573102568168,1/100 アカツキガンダム（オオワシパック/シラヌイパック フルセット）,BANDAI SPIRITS,機動戦士ガンダムSEED DESTINY,,1/100
4573102631619,1/100 アッガイ,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4573102631602,1/100 アッグ,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4573102631695,1/100 アッグガイ,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4543112577351,1/100 アリオスガンダム,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112587503,1/100 アリオスガンダム デザイナーズカラーバージョン,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4902425495125,1/100 アルトロンガンダム,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
4543112434197,1/100 インフィニットジャスティスガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED DESTINY,,1/100
4543112164100,1/100 イージスガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED,,1/100
4902425471655,1/100 ウイングガンダム,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
4902425571379,1/100 ウイングガンダム ゼロカスタム,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4902425482880,1/100 ウイングガンダムゼロ,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
,1/100 ウイングガンダムゼロカスタム スペシャル オペレーションタイプ,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4543112142115,1/100 エールストライクガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED,,1/100
4543112545053,1/100 オーバーフラッグ,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112568885,1/100 オーライザー,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112321701,1/100 カオスガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED DESTINY,,1/100
4573102581846,1/100 ガナーザクウォーリア（ルナマリア・ホーク専用機）,BANDAI SPIRITS,機動戦士ガンダムSEED DESTINY,,1/100
4902425039596,1/100 ガルバルディβ,BANDAI SPIRITS,機動戦士Zガンダム,,1/100
4573102631558,1/100 ガンキャノン,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4902425320694,1/100 ガンタンクR-44,BANDAI SPIRITS,機動戦士ガンダムF91,,1/100
4573102630490,1/100 ガンダム,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4902425310404,1/100 ガンダムF-90,BANDAI SPIRITS,機動戦士ガンダムF90,,1/100
,1/100 ガンダムF-90 2Lタイプ,BANDAI SPIRITS,機動戦士ガンダムF90,,1/100
4902425342085,1/100 ガンダムF-90 Pタイプ,BANDAI SPIRITS,機動戦士ガンダムF90,,1/100
4902425342924,1/100 ガンダムF-90 Vタイプ,BANDAI SPIRITS,機動戦士ガンダムF90,,1/100
4902425323473,1/100 ガンダムF91,BANDAI SPIRITS,機動戦士ガンダムF91,,1/100
4543112341372,1/100 ガンダムMK2,BANDAI SPIRITS,機動戦士Zガンダム,,1/100
4902425374208,1/100 ガンダムRXF-91改,BANDAI SPIRITS,機動戦士ガンダムシルエットフォーミュラ91,,1/100
4902425357645,1/100 ガンダムRXF91,BANDAI SPIRITS,機動戦士ガンダムシルエットフォーミュラ91,,1/100
4543112538055,1/100 ガンダムアストレア,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112544810,1/100 ガンダムアストレアTYPE-F,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112584359,1/100 ガンダムアストレイ グリーンフレーム,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112587510,1/100 ガンダムアストレイ ゴールドフレーム,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112450715,1/100 ガンダムアストレイ ゴールドフレームアマツ,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112267962,1/100 ガンダムアストレイ ブルーフレームセカンドL,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112605436,1/100 ガンダムアストレイ ミラージュフレーム,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112614186,1/100 ガンダムアストレイ ミラージュフレーム セカンドイシュー,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4543112249234,1/100 ガンダムアストレイ レッドフレーム,BANDAI SPIRITS,機動戦士ガンダムSEED ASTRAY,,1/100
4573102579416,1/100 ガンダムアヴァランチエクシア,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4902425532752,1/100 ガンダムエアマスター,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425550206,1/100 ガンダムエアマスターバースト,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4543112522276,1/100 ガンダムエクシア,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
,1/100 ガンダムエクシア トランザムモード エクストラフィニッシュVer.,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4902425526744,1/100 ガンダムエックス,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425542874,1/100 ガンダムエックスD.V.,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425488158,1/100 ガンダムエピオン,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
4549660075943,1/100 ガンダムキマリストルーパー,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4549660032243,1/100 ガンダムキマリス（ブースター装備）,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4543112523686,1/100 ガンダムキュリオス,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4549660018940,1/100 ガンダムグシオン/ガンダムグシオンリベイク,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4902425606262,1/100 ガンダムサンドロックカスタム,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4902425550121,1/100 ガンダムダブルエックス,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425476841,1/100 ガンダムデスサイズ,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
4902425495132,1/100 ガンダムデスサイズヘル,BANDAI SPIRITS,新機動戦記ガンダムW,,1/100
4902425597690,1/100 ガンダムデスサイズヘルカスタム,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4543112522443,1/100 ガンダムデュナメス,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4902425563169,1/100 ガンダムナタク,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4549660018865,1/100 ガンダムバルバトス,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4549660073239,1/100 ガンダムバルバトス 第6形態,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4902425013435,1/100 ガンダムフルアーマータイプ,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
4902425597676,1/100 ガンダムヘビーアームズカスタム,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
,1/100 ガンダムベース限定 MSエフェクト01（クリアブルー）,BANDAI SPIRITS,ガンプラ周辺グッズ/オプション,,1/100
,1/100 ガンダムベース限定 MSスパイク01&エモーションマニピュレーター（ジオン系）,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
,1/100 ガンダムベース限定 MSバーニア01&エモーションマニピュレーター（連邦系）,BANDAI SPIRITS,ガンプラ周辺グッズ/オプション,,1/100
4573102638434,1/100 ガンダムマックスター,BANDAI SPIRITS,機動武闘伝Gガンダム,,1/100
4902425532790,1/100 ガンダムレオパルド,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425551623,1/100 ガンダムレオパルドデストロイ,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4902425542881,1/100 ガンダムヴァサーゴ,BANDAI SPIRITS,機動新世紀ガンダムX,,1/100
4573102579393,1/100 ガンダムヴァーチェ,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4902425410067,1/100 ガンブラスター,BANDAI SPIRITS,機動戦士Vガンダム,,1/100
4573102631565,1/100 ギャン,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4902425382456,1/100 クラスターガンダム,BANDAI SPIRITS,機動戦士ガンダムF91,,1/100
4573102615756,1/100 グフ,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4549660041818,1/100 グリムゲルデ,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4549660075936,1/100 グレイズ改,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4549660032328,1/100 グレイズ（一般機/指揮官機）,BANDAI SPIRITS,機動戦士ガンダム 鉄血のオルフェンズ,,1/100
4543112574671,1/100 ケルディムガンダム,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112587497,1/100 ケルディムガンダム デザイナーズカラーバージョン,BANDAI SPIRITS,機動戦士ガンダム00,,1/100
4543112603975,1/100 ゲイルストライクガンダム,BANDAI SPIRITS,機動戦士ガンダムSEED,,1/100
4573102635396,1/100 ゴッグ,BANDAI SPIRITS,機動戦士ガンダム,,1/100
4902425612164,1/100 サーペントカスタム,BANDAI SPIRITS,新機動戦記ガンダムW Endless Waltz,,1/100
4543112340993,1/100 ザクウォーリア+ブレイズウィザード&ガナーウィザード,BANDAI SPIRITS,機動戦士ガンダムSEED DESTINY,,1/100
4902425013312,1/100 ザクキャノン,BANDAI SPIRITS,機動戦士ガンダムMSV,,1/100
