jan,title,maker,series,grade,scale
,RX-77-2 ガンキャノン (1999),BANDAI SPIRITS,Universal Century,HGUC,1/144
,RX-0[N] ユニコーンガンダム2号機 バンシィ・ノルン（デストロイモード）,BANDAI SPIRITS,Universal Century,HGUC,1/144
,ARX-014S シルヴァ・バレト・サプレッサー (2019),BANDAI SPIRITS,Universal Century,HGUC,1/144
,XXXG-01SR ガンダムサンドロック[注釈 10] (2019),BANDAI SPIRITS,Universal Century,HGUC,1/144
,XXXG-01H ガンダムヘビーアームズ,BANDAI SPIRITS,Universal Century,HGUC,1/144
,G-3ガンダム&ジオング（シャアカラー） (2002),BANDAI SPIRITS,Universal Century,HGUC,1/144
,メッキバージョンセット（Ζガンダム） (2004),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ガンダム 大地に立つ セット（エクストラフィニッシュバージョン） (2005),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ガンダム&量産型ザクセット（ガンダムブレイカーオリジナルカラーVer.） (2013),BANDAI SPIRITS,Universal Century,HGUC,1/144
,RX-78-2 ガンダム[清水港開港120周年記念カラー] (2019),BANDAI SPIRITS,Universal Century,HGUC,1/144
,HG 1/144 マイティーストライクフリーダムガンダム[リミテッドクリア],BANDAI SPIRITS,Universal Century,HGUC,1/144
,RMS-117 ガルバルディβ [クリアカラー] (2018),BANDAI SPIRITS,Universal Century,HGUC,1/144
,"ブルーディスティニー2号機""EXAM"" [メタリックグロスインジェクション] (2019)",BANDAI SPIRITS,Universal Century,HGUC,1/144
,"ブルーディスティニー3号機""EXAM"" [メタリックグロスインジェクション] (2019)",BANDAI SPIRITS,Universal Century,HGUC,1/144
,フリーダムガンダムvsフォースインパルスガンダム（運命の対決セット）[メタリック] (2019),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ZGMF-X42S デスティニーガンダム [クリアカラー] (2019),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ZGMF-X19A インフィニットジャスティスガンダム [クリアカラー] (2020),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ペーネロペー[クリアカラー]初回生産限定パッケージ (2021),BANDAI SPIRITS,Universal Century,HGUC,1/144
,ザックン,BANDAI SPIRITS,MS-06Sシャア専用ザク→No.33に的以外の全パーツを流用,SD,Non-scale
,RX-93νガンダム (1988),BANDAI SPIRITS,機動戦士ガンダム逆襲のシャア,SD,Non-scale
,MSN-04サザビー,BANDAI SPIRITS,→GジェネNo.02に全パーツを流用,SD,Non-scale
,MSN-03ヤクト・ドーガ,BANDAI SPIRITS,1988年6月,SD,Non-scale
,RGM-89ジェガン,BANDAI SPIRITS,→GジェネNo.04に全パーツを流用,SD,Non-scale
,RGZ-91リ・ガズィ,BANDAI SPIRITS,1988年7月,SD,Non-scale
,AMS-119ギラ・ドーガ,BANDAI SPIRITS,→GジェネNo.06に全パーツを流用,SD,Non-scale
,RX-178ガンダムMk-II (1988),BANDAI SPIRITS,機動戦士Ζガンダム,SD,Non-scale
,AMX-011ザクIII（ドダイ改つき）,BANDAI SPIRITS,機動戦士ガンダムΖΖ,SD,Non-scale
