jan,title,maker,series,grade,scale
4967834015629,1/72 F-15J イーグル “航空自衛隊”,HASEGAWA,E Series,E12,1/72
4967834022412,1/72 F-14A トムキャット “大西洋空母航空団”,HASEGAWA,E Series,E14,1/72
4967834015698,1/72 F-4EJ ファントムII “航空自衛隊”,HASEGAWA,E Series,E3,1/72
4967834019467,1/72 三菱 A6M5c 零式艦上戦闘機 52型 丙,HASEGAWA,E Series,A9,1/72
4967834072233,1/48 川崎 Ki-61-I 三式戦闘機 飛燕 I型 丁,HASEGAWA,JT Series,JT14,1/48
4967834072462,1/48 F-22 ラプター,HASEGAWA,PT Series,PT46,1/48
4967834645017,1/500 宇宙戦艦ヤマト シリーズ 宇宙戦艦ヤマト,HASEGAWA,Anime,,1/500
4967834647349,1/1500 クリエイターワークス 銀河鉄道999 宇宙海賊戦艦 アルカディア,HASEGAWA,Creator Works,,1/1500
4967834521090,1/12 レトロ自販機(ハンバーガー),HASEGAWA,Accessory,,1/12
,1/72 F/A-18E スーパーホーネット,HASEGAWA,E Series,E19,1/72
,1/72 VF-1J バルキリー,HASEGAWA,Macross,,1/72
,1/48 YF-19 マクロスプラス,HASEGAWA,Macross,,1/48
,1/200 全日空 ボーイング 777-200,HASEGAWA,Airliner,,1/200
,1/24 いすゞ 117クーペ 前期型 (ハンドメイド),HASEGAWA,Historic Car,,1/24
,1/35 日立建機 ホイールローダ ZW100-6,HASEGAWA,Construction,,1/35
