jan,title,maker,series,grade,scale
,10円ゲーム（ベースボール）,Hasegawa,,プラモデル,1/12
,12リアルフィギュアコレクション No.47 “ビキニ”,Hasegawa,,レジンキット,1/12
,20 メカトロウィーゴ マジンガーコラボ Vol.3 “ぐれ…,Hasegawa,,プラモデル,1/20
,2WAY モデリングルーペ（LEDライト付）,Hasegawa,,模型用工具,
,A.S.G. ガールズ EMO-X0022 “アリア”,Hasegawa,,プラモデル,1/12
,A.S.G. ガールズ EMO-X0024 “シエル”,Hasegawa,,プラモデル,1/12
,"AH-64D アパッチ ロングボウ ""陸上自衛隊""",Hasegawa,,プラモデル,1/48
,"ANA ボーイング 737-800 ""トリトンブルー""",Hasegawa,,プラモデル,1/200
,ANA ボーイング 767-300,Hasegawa,,プラモデル,1/200
,ANA ボーイング 787-9 （GEエンジン）,Hasegawa,,プラモデル,1/200
,AV-8B ハリアーII プラス,Hasegawa,,プラモデル,1/72
,AV-8B ハリアーII プラス “VMA-223 スペシャ…,Hasegawa,,プラモデル,1/48
,B-239 バッファロー “フィンランド空軍 エーセス”,Hasegawa,,プラモデル,1/72
,BMW 2002 tii 後期型（1973）,Hasegawa,,プラモデル,1/24
,BMW 320i “カスタムバージョン”,Hasegawa,,プラモデル,1/24
,F-117A ナイトホーク,Hasegawa,,プラモデル,1/72
,F-14A トムキャット (ハイビジ),Hasegawa,,プラモデル,1/72
,F-14A トムキャット “エースコンバット ウォードッグ隊…,Hasegawa,,プラモデル,1/72
,F-14B トムキャット “VF-103 ジョリー ロジャー…,Hasegawa,,プラモデル,1/72
,F-15J イーグル “201SQ 40周年記念塗装”,Hasegawa,,プラモデル,1/72
,F-15J イーグル “航空自衛隊”,Hasegawa,,プラモデル,1/72
,F-15J/DJ イーグル“航空自衛隊”,Hasegawa,,プラモデル,1/48
,F-22 ラプター,Hasegawa,,プラモデル,
,F-35 ライトニングII（B型） “ビーストモード”,Hasegawa,,プラモデル,1/72
,F-4 ファントム II “302SQ F-4 ファイナルイ…,Hasegawa,,プラモデル,
,F-4EJ改 スーパーファントム “302SQ F-4 ファ…,Hasegawa,,プラモデル,1/48
,F/A-18C ホーネット,Hasegawa,,プラモデル,1/72
,F/A-18F スーパー ホーネット“VFA-11 レッド …,Hasegawa,,プラモデル,1/72
,F4F-4 ワイルドキャット “第9戦闘飛行隊”,Hasegawa,,プラモデル,1/72
,J35Fドラケン & SH37 ビゲン “F13航空団”,Hasegawa,,プラモデル,1/72
,P-47 サンダーボルト,Hasegawa,,プラモデル,
,Pkw.K1 キューベルワーゲン 82型 w/ブロンドガール…,Hasegawa,,プラモデル,1/24
,Pkw.K1 キューベルワーゲン 82型（バルーンタイヤ）w…,Hasegawa,,プラモデル,1/24
,SBD-3 ドーントレス “ミッドウェー海戦”,Hasegawa,,プラモデル,1/48
,SBD-3 ドーントレス “第2偵察飛行隊”,Hasegawa,,プラモデル,1/72
,SV-51γ イワノフ機/α 量産機 “マクロスゼロ”,Hasegawa,,プラモデル,1/72
,Sv-262Hs ドラケンIII ロイド機 “マクロスΔ”,Hasegawa,,プラモデル,1/72
,TA-4J スカイホーク,Hasegawa,,プラモデル,1/48
