jan,title,maker,series,grade,scale
4934054107572,フレームアームズ・ガール 轟雷 改 Ver.2,KOTOBUKIYA,Frame Arms Girl,FAG,Non
4934054108531,メガミデバイス アスラ 忍者,KOTOBUKIYA,Megami Device,Megami,1/1
4934054109316,メガミデバイス アスラ 弓兵,KOTOBUKIYA,Megami Device,Megami,1/1
4934054104687,ヘキサギア ガバナー アーマータイプ:ポーンA1,KOTOBUKIYA,Hexa Gear,Hexa,1/24
4934054133403,創彩少女庭園 結城 まどか [桃桜高校・冬服],KOTOBUKIYA,Sousai Shojo Teien,,1/10
4934054109064,ZOIDS EZ-049 バーサークフューラー リパッケージVer.,KOTOBUKIYA,ZOIDS,HMM,1/72
4934054101457,ZOIDS RZ-041 ライガーゼロ,KOTOBUKIYA,ZOIDS,HMM,1/72
4934054108258,M.S.G モデリングサポートグッズ ウェポンユニット01 バーストレールガン,KOTOBUKIYA,M.S.G,,Non
,アルカナディア ルミティア,KOTOBUKIYA,Arcanadea,,Non
,フレームアームズ 三八式一型 龍雷・改:RE2,KOTOBUKIYA,Frame Arms,,1/100
,エヴァンゲリオン初号機 TV Ver.,KOTOBUKIYA,Evangelion,,1/400
,アーマード・コア ヴァリアブル・インフィニティ ホワイト・グリント,KOTOBUKIYA,Armored Core,VI,1/72
,ロックマン11 ギアーズ・オブ・デスティニー ロックマン,KOTOBUKIYA,Rockman,,1/12
,ACE COMBAT 7: SKIES UNKNOWN X-02S ストライクワイバーン,KOTOBUKIYA,Ace Combat,,1/144
,勇者警察ジェイデッカー ジェイデッカー,KOTOBUKIYA,Brave Series,,Non
