jan,title,maker,series,grade,scale
4545784010619,COMBAT ARMORS MAX 01 1/72 コンバットアーマー ダグラム,MAX FACTORY,Dougram,MAX01,1/72
4545784010657,COMBAT ARMORS MAX 02 1/72 ソルティック H8 ラウンドフェイサー,MAX FACTORY,Dougram,MAX02,1/72
4545784010671,COMBAT ARMORS MAX 03 1/72 アビデート T10B ブロックヘッド,MAX FACTORY,Dougram,MAX03,1/72
4545784010695,COMBAT ARMORS MAX 04 1/72 ソルティック H8rf コーチマSpl,MAX FACTORY,Dougram,MAX04,1/72
4545784010725,COMBAT ARMORS MAX 05 1/72 アイアンフット F4X ヘイスティ,MAX FACTORY,Dougram,MAX05,1/72
4545784013146,COMBAT ARMORS MAX 22 1/72 コンバットアーマー ダグラム アップデートver.,MAX FACTORY,Dougram,MAX22,1/72
4545784013405,COMBAT ARMORS MAX 27 1/72 ダグラム Ver. GT,MAX FACTORY,Dougram,,1/72
,COMBAT ARMORS MAX 06 1/72 ブロムリー JRS ネイティブダンサー,MAX FACTORY,Dougram,MAX06,1/72
,COMBAT ARMORS MAX 07 1/72 ソルティック H102 ブッシュマン,MAX FACTORY,Dougram,MAX07,1/72
,COMBAT ARMORS MAX 08 1/72 イーストランド WE211 マベリック,MAX FACTORY,Dougram,MAX08,1/72
,COMBAT ARMORS MAX 11 1/72 ソルティック HT128 ビッグフット,MAX FACTORY,Dougram,MAX11,1/72
,COMBAT ARMORS MAX 13 1/72 サバロフ AG9 ニコラエフ,MAX FACTORY,Dougram,MAX13,1/72
,COMBAT ARMORS MAX 14 1/72 コンバットアーマー ダグラム 対空武装強化型ザック装着タイプ,MAX FACTORY,Dougram,MAX14,1/72
,PLAMAX 1/72 太陽の牙ダグラム コレクターズボックス,MAX FACTORY,Dougram,,1/72
,PLAMAX 1/35 ダグラム カットアウェイモデル,MAX FACTORY,Dougram,,1/35
