uuid,jan,name,maker,series,grade,scale,status,memo,updatedAt,sheet_updated_at
F89A1BCC-2DE0-490C-ADE6-A8A81EE58D99,,MS-05B ザクI（旧ザク）,BANDAI,機動戦士ガンダム,HG,1/144,制作中,,2025-12-20T06:04:17Z,
0D352B52-1A37-47E1-A7F9-4DA3B68A628B,,40周年記念 RX-78-2 ガンダム BEYOND GLOBAL [ガンダムベース限定 クリアカラー],BANDAI,機動戦士ガンダム,HG,1/144,完成,,2025-12-19T21:54:03Z,
242E3D63-A553-41FD-B7B2-4B861B795BA3,4573102631398,アトラスガンダムGUNDAM THUNDERBOLT Ver.,BANDAI,機動戦士ガンダムサンダーボルト,HG,1/144,積み,,2025-12-19T21:54:03Z,
29EB22AB-C498-44A7-9070-A764AD134389,,MS-09 ドム/MS-09R リック・ドム,BANDAI,機動戦士ガンダム,HG,1/144,制作中,,2025-12-19T21:54:03Z,
88DC2616-BE67-41A5-B35E-9DAB39C2DFD3,,GN-001 ガンダムエクシア［ガンダムベース限定 トランザムクリア］,BANDAI,機動戦士ガンダム00,RG,1/144,完成,,2025-12-19T21:54:03Z,
64343218-D626-405D-B78F-C8407DFB767C,,MS-09 リック・ドム ガイア機/オルテガ機（GQ),BANDAI,機動戦士Gundam GQuuuuuuX,HG,1/144,積み,,2025-12-19T21:54:03Z,
C241B6E7-BFF3-47E4-B785-461E0060E5A8,,AMX-004 キュベレイ,BANDAI,機動戦士ガンダムZ,HG,1/144,完成,,2025-12-19T21:54:03Z,
27F9C1C6-6B93-427B-A1BF-C2491662FEC5,,ZGMF/A-262PD-P マイティーストライクフリーダムガンダム,BANDAI,機動戦士ガンダムSEED FREEDOM,HG,1/144,完成,,2025-12-19T21:54:03Z,
7B6A06A5-CCA8-4AF8-AD4E-E1481F22967E,,RCX-76-02 ガンキャノン 最初期型(鉄騎兵中隊機),BANDAI,機動戦士ガンダム THE ORIGIN,HG,1/144,いつか手に入れたい,,2025-12-20T06:01:56Z,
8BCC2C3C-ACEC-421E-8691-078DE85EC90D,,MS-06R 高機動型ザク サイコ・ザク GUNDAM THUNDERBOLT Ver.,BANDAI,機動戦士ガンダムサンダーボルト,HG,1/144,積み,,2025-12-19T21:54:03Z,
